,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1170,UNIVERSAL PROPULSION CO,USA,260040,CAD PADS,2013-07-13,2013-12-13,2013
1171,UNIVERSITÉ DE STRASBOURG,FRA,160000,CARTOGRAPHY STUDIES,2013-07-13,2013-12-13,2013
1172,UTILIS S.A.,FRA,11637205,ACQUISITION OF VARIOUS SIZED TENTS AND HVAC UNITS,2013-07-13,2013-12-13,2013
1173,VALLON GMBH,DEU,686400,MINE DETECTING SET,2013-07-13,2013-12-13,2013
1174,VP HOLDING MANAGEMENT SYSTEM,,,INFRASTRUCTURE SERVICES FOR AMMUNITION,2013-07-13,2013-12-13,2013
1175,,ROU,457920,,2013-07-13,2013-12-13,2013
1176,SRL,,,DEPOT,2013-07-13,2013-12-13,2013
1177,WESCO MANUFACTURING INC,USA,146211,"SUPPLY OF BRUSH,ELECTRICAL CONTACT",2013-07-13,2013-12-13,2013
1178,WESCO MANUFACTURING INC,USA,95710,SUPPLY OF ARMATURE ASSY FOR CN-235 AIRCRAFT,2013-07-13,2013-12-13,2013
1179,"WILD BORE MACHINE, LLC",USA,1395987,SUPPLY OF F15 AFT FUSELAGE STAND,2013-07-13,2013-12-13,2013
1180,ZODIAC MILPRO INTERNATIONAL,FRA,3108288,RIGID-HULLED INFLATABLE BOAT & TRAILER,2013-07-13,2013-12-13,2013
1181,ZODIAC MILPRO INTERNATIONAL,FRA,123075,ZODIAC FC-470 EVOL 7 INFLATABLE BOAT,2013-07-13,2013-12-13,2013
1182,AEG BELGIUM SA/NV,BEL,286000,"SUPPLY OF CELL, BATTERY FOR AB212 AND ALOUETTE III",,2013-01-13,2013-06-13
1183,AERAZUR - ZODIAC AEROSPACE,FRA,540750,PROCUREMENT OF IMMERSION SUITS,,2013-01-13,2013-06-13
1184,AERO PRECISION INDUSTRIES INC,USA,738069,"SUPPLY OF PROPELLER, AIRCRAFT AS PER HAMILTON SUNDSTRAND CMM 61-13-03",,2013-01-13,2013-06-13
1185,AGUSTA AEROSPACE SERVICES SA,BEL,134472,SUPPLY OF BEARING FOR OH-58 HELICOPTER,,2013-01-13,2013-06-13
1186,ALENIA AERMACCHI SPA,ITA,95821,SUPPLY OF VARIOUS SPARES FOR EUROFIGHTER AIRCRAFT,,2013-01-13,2013-06-13
1187,ALLIANT TECHSYSTEMS INC,USA,376673,SUPPLY OF PROXIMITY SENSORS,,2013-01-13,2013-06-13
1188,AMBIENTE SC,ITA,5190000,WASTE DISPOSAL,,2013-01-13,2013-06-13
1189,AMPER PROGRAMAS DE,,,,,2013-01-13,2013-06-13
1190,,ESP,614475,MAINTENANCE SUPPORT OF SIMACET,,2013-01-13,2013-06-13
1191,ELECTRONICA,,,,,2013-01-13,2013-06-13
1192,AQUALUNG - LA SPIROTECHNIQUE IC,FRA,375401,SUPPLY OF OXYGEN MASKS,,2013-01-13,2013-06-13
1193,AQUALUNG ESPANA S.L,ESP,225495,SUPPLY OF VARIOUS SPARE PARTS FOR HELICOPTERS,,2013-01-13,2013-06-13
1194,ARKEL INTERNATIONAL LLC,USA,269024,OLD RC(S) COMPLEX O&M JAN-DEC 13,,2013-01-13,2013-06-13
1195,ASIA SRL,ITA,129087,SUPPLY OF RUGGED CONTAINERS,,2013-01-13,2013-06-13
1196,ASTRIUM SERVICES ENTERPRISES AS,NOR,165768,PROVISION OF INTERNET SERVICES,,2013-01-13,2013-06-13
1197,AT TECHNOLOGIES GMBH,DEU,123960,SUPPLY OF THERMAL CONTROL VALVE FOR CN- 235 AIRCRAFT,,2013-01-13,2013-06-13
1198,ATK LAUNCH SYSTEMS INC,USA,526817,AIM-120 (AMRAAM) ROCKET MOTOR AGE-LIFE PREDICTION PROGRAMME,,2013-01-13,2013-06-13
1199,AVIALL INC,FRA,94885,SUPPLY OF VARIOUS SPARE PARTS FOR P-3C ORION AIRCRAFT,,2013-01-13,2013-06-13
1200,,,SUPPLY OF SWITCH ASSY FOR,AIRCRAFT,2013-01-13,2013-06-13,2013
1201,AVTECH CORP,USA,82118,,,2013-01-13,2013-06-13
1202,,,,CN235,,2013-01-13,2013-06-13
1203,BELL HELICOPTER SUPPLY CENTER,,,,,2013-01-13,2013-06-13
1204,,NLD,351154,"SUPPLY OF GRIP ASSEMBLY,MAIN",,2013-01-13,2013-06-13
1205,BV,,,,,2013-01-13,2013-06-13
1206,BHE BONN HUNGARY ELECTRONICS,,,,2013-01-13,2013-06-13,2013
1207,,HUN,100000,4 CHANNEL MONOPULSE ANTENNA,2013-01-13,2013-06-13,2013
1208,LTD,,,,2013-01-13,2013-06-13,2013
1209,BOEING INTEGRATED DEFENSE,,,,2013-01-13,2013-06-13,2013
1210,,USA,94835,BOEING SPARE PARTS,2013-01-13,2013-06-13,2013
1211,SYSTEMS,,,,2013-01-13,2013-06-13,2013
1212,BOEING INTEGRATED DEFENSE,,,,2013-01-13,2013-06-13,2013
1213,,USA,268026,BOEING SPARE PARTS,2013-01-13,2013-06-13,2013
1214,SYSTEMS,,,,2013-01-13,2013-06-13,2013
1215,BOEING INTEGRATED DEFENSE,,,,2013-01-13,2013-06-13,2013
1216,,USA,139956,BOEING SPARE PARTS,2013-01-13,2013-06-13,2013
1217,SYSTEMS,,,,2013-01-13,2013-06-13,2013
1218,BRISTOL TRUST LLC,EST,1636935,SUPPLY OF COMBAT BOOTS,2013-01-13,2013-06-13,2013
1219,BUSINESS OBJECTS NV,BEL,94990,PROCUREMENT OF AMOSS 2000 LICENSES WITH ANNUAL MAINTENANCE AND SUPPORT,2013-01-13,2013-06-13,2013
1220,CHEMRING COUNTERMEASURES LTD,GBR,185152,SUPPLY OF CARTIDGES,2013-01-13,2013-06-13,2013
1221,CHEMRING COUNTERMEASURES LTD,GBR,432983,SUPPLY OF CHAFFS AND FLARES COUNTERMEASURE,2013-01-13,2013-06-13,2013
1222,CMCA (UK),GBR,148113,SUPPLY OF CENTRIFUGAL PUMPS,2013-01-13,2013-06-13,2013
1223,,,,TECHNICAL AND ENGINEERING SUPPORT,2013-01-13,2013-06-13,2013
1224,CONSORZIO S3LOG,ITA,343544,SERVICE FOR THE RATIONALIZATION OF THE LOGISTIC SUPPORT OF THE ADVANCED,2013-01-13,2013-06-13,2013
1225,CONSORZIO S3LOG,ITA,342863,FIGHTER AIRCRAFT LOGISTICS GEO-INFO SERVICES,2013-01-13,2013-06-13,2013
1226,DAVEY BICKFORD - DEFENCE &,FRA,4221396,SUPPLY OF ELECTRIC DETONATORS,2013-01-13,2013-06-13,2013
1227,DIEHL BGT DEFENCE GMBH & CO KG,DEU,1535168,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1228,DSB DEUTSCHE SCHLAUCHBOOT,,,SUPPLY OF FLYERS ANTIEXPOSURE,2013-01-13,2013-06-13,2013
1229,GMBH,DEU,541580,COVERALLS,2013-01-13,2013-06-13,2013
1230,EADS-CASA,ESP,523909,SUPPLY OF FLAPS,2013-01-13,2013-06-13,2013
1231,EADS-CASA,ESP,429234,SUPPLY OF VARIOUS SPARE PARTS FOR CN-235 AIRCRAFT,2013-01-13,2013-06-13,2013
1232,EL DORADO ENGINEERING INC.,USA,129689,SUPPLY OF DEMILITARIZATION EQUIPMENT,2013-01-13,2013-06-13,2013
1233,EUROTRADIA INTERNATIONAL,FRA,218190,SUPPLY OF BRUSH ELECTRICAL CONTROL FOR CN-235 AIRCRAFT,2013-01-13,2013-06-13,2013
1234,EXPAL SYSTEMS SA,ESP,234000,SUPPLY OF 155MM PROJECTILES,2013-01-13,2013-06-13,2013
1235,EXPAL SYSTEMS SA,ESP,1115789,DEMILITARIZATION TASKS,2013-01-13,2013-06-13,2013
1236,EXPAL SYSTEMS SA,ESP,955500,SUPPLY OF PROPELLING CHARGES,2013-01-13,2013-06-13,2013
1237,EXPAL SYSTEMS SA,ESP,170000,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1238,FEKA INSAAT SAN VE TIC AS,TUR,2359094,CUR 1277 - UPGRADE WWTP - 100% DESIGN,2013-01-13,2013-06-13,2013
1239,FEKA INSAAT SAN VE TIC AS,TUR,488429,CUR 1461 - FENCE LINE UPGRADE,2013-01-13,2013-06-13,2013
1240,FEKA INSAAT SAN VE TIC AS,TUR,103058,O&M+CLEAN BUILDING 202,2013-01-13,2013-06-13,2013
1241,FN HERSTAL SA,BEL,1027180,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1242,GE MEDICAL SYSTEMS ITALIA SPA,ITA,93942,SUPPLY OF ULTRASOUND IMAGING SYSTEM,2013-01-13,2013-06-13,2013
1243,GE MEDICAL SYSTEMS ITALIA SPA,ITA,363000,SUPPLY OF MAMMOGRAPHY SYSTEMS & ACCESSORIES,2013-01-13,2013-06-13,2013
1244,GENERAL DYNAMICS,ESP,1481500,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1245,GENERAL DYNAMICS,CAN,4299035,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1246,GENERAL ELECTRIC CO,USA,2391734,SUPPLY OF TURBINE ROTORS,2013-01-13,2013-06-13,2013
1247,GENERAL ELECTRIC CO,USA,1529655,"SUPPLY OF BLADES, TURBINE ENGINES",2013-01-13,2013-06-13,2013
1248,GENERAL ELECTRIC CO,USA,320839,SUPPLY OF SPARE PARTS FOR POWER UNIT ON CN-235 AIRCRAFT,2013-01-13,2013-06-13,2013
1249,GIRAITES GINKLUOTES GAMYKLA,LTU,1035705,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1250,GMS INTERNATIONAL CORP,USA,127016,PROCUREMENT OF PITOT TUBE,2013-01-13,2013-06-13,2013
