,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
282,MARSHALL SPECIALIST VEHICLES,,,,2012-07-12,2012-12-12,2012
283,,GBR,1285897,SCANOGRAPHE D’USAGE MÉDICAL,2012-07-12,2012-12-12,2012
284,LTD,,,,2012-07-12,2012-12-12,2012
285,MARTIN-BAKER AIRCRAFT CO LTD,GBR,192196,MOTOR ASSY ROCKET FRONT,2012-07-12,2012-12-12,2012
286,MARTIN-BAKER AIRCRAFT CO LTD,GBR,409876,CARTRIDGES,2012-07-12,2012-12-12,2012
287,MAS ZENGRANGE LTD,GBR,94785,MINI DRFD SYSTEM KIT,2012-07-12,2012-12-12,2012
288,MASTERMARK BRANDS OY,FIN,88410,VICTORINOX SWISSTOOL WITH POUCH,2012-07-12,2012-12-12,2012
289,MASTERMARK BRANDS OY,FIN,155730,VICTORINOX SWISSTOOL WITH POUCH,2012-07-12,2012-12-12,2012
290,MCR LLC,USA,375881,GPS SUPPORT SERVICES,2012-07-12,2012-12-12,2012
291,MERCEDES-BENZ LUXEMBOURG SA,LUX,89190,BRAKE SHOE SET,2012-07-12,2012-12-12,2012
292,MERCEDES-BENZ LUXEMBOURG SA,LUX,115160,DISK BRAKE SHOE SET,2012-07-12,2012-12-12,2012
293,METAG CONSTRUCTION TRADE CO,TUR,166793,KAF NORTH SIDE FIRE & AMBULANCE STATION,2012-07-12,2012-12-12,2012
294,METALIS,FRA,135600,CAISSES C30,2012-07-12,2012-12-12,2012
295,MHD-ROCKLAND,CAN,300423,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
296,MTU FRIEDRICHSHAFEN GMBH,DEU,299730,"PURCHASE OF CABINET, ELECTRICAL EQUIP. (M60T TANK) FOR THE TURKISH DOD",2012-07-12,2012-12-12,2012
297,MV PARTS,BEL,76000,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,2012-07-12,2012-12-12,2012
298,MV PARTS,BEL,214800,EXIDE GEL DRIFYT 12V 115AH,2012-07-12,2012-12-12,2012
299,MV PARTS,BEL,220500,EXIDE GEL DRIFYT 12V 100AH,2012-07-12,2012-12-12,2012
300,MV PARTS,BEL,375900,EXIDE GEL DRIFYT 12V 115AH,2012-07-12,2012-12-12,2012
301,NAMMO BUCK GMBH,DEU,1537828,DEMILITARIZATION,2012-07-12,2012-12-12,2012
302,NAMMO NAD AS,NOR,114857,DEMIL EOD AMMUNITION,2012-07-12,2012-12-12,2012
303,NAPCO INTERNATIONAL INC.,USA,95329,"SURVEYING SET, FIELD ARTILLERY BATTALION",2012-07-12,2012-12-12,2012
304,NATIONAL INSTRUMENTS BELGIUM,,,PROCUREMENT OF VARIOUS ITEMS FOR LE-TE,2012-07-12,2012-12-12,2012
305,NV,BEL,82100,WORKSHOP,2012-07-12,2012-12-12,2012
306,NEWTEC GMBH SYSTEM-,DEU,249375,PROVISION OF A STUDY FOR THE MIGRATION OF THE SYSTEM ARCHITECTURE FOR MILITARY,2012-07-12,2012-12-12,2012
307,ENTWICKLUNG UND,,,,,2012-07-12,2012-12-12
308,NEXTER MUNITIONS,FRA,31682880,FLIGHT SAFETY CARTRIDGES 25X137,2012-07-12,2012-12-12,2012
309,,,,SUPPLY OF RADAR SENSOR INTERFACE &,2012-07-12,2012-12-12,2012
310,NORTHROP GRUMMAN ISS INTL INC,,USA,7849170,,2012-07-12,2012-12-12
311,NOVEK TECHNICAL SOLUTIONS BV,NLD,88526,AIRBORNE SIGNAL PROCESSOR PZH2000 SPARE PARTS,2012-07-12,2012-12-12,2012
312,OAKLEY INC,USA,289997,M-FRAME BALLISTIC EYESHIELDS,2012-07-12,2012-12-12,2012
313,OAKLEY INC,USA,2266500,M-FRAME BALLISTIC EYESHIELDS,2012-07-12,2012-12-12,2012
314,OBD INSAAT TAAHHUT,TUR,578491,KAF IPFP - ADD. SCOPE & ADD. WORKS,2012-07-12,2012-12-12,2012
315,OBD INSAAT TAAHHUT,TUR,2524589,ENG 121 - KAF PROVIDE OPE ACCOMMODATION,2012-07-12,2012-12-12,2012
316,,,,QA SUPPORT CONSTRUCTION HQ ISAF REAR,2012-07-12,2012-12-12,2012
317,OBERMEYER PLANEN UND,,DEU,237114,,2012-07-12,2012-12-12
318,PAAR LOGISTIK GMBH,DEU,81600,"ECP SQUIB,ELECTRIC",2012-07-12,2012-12-12,2012
319,PAAR LOGISTIK GMBH,DEU,120870,KUPPLUNGSDRUCKPLATT,2012-07-12,2012-12-12,2012
320,PARKER-HANNIFIN CORP,USA,115060,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
321,PARKER-HANNIFIN CORP,USA,92343,PROCUREMENT OF PARTS,2012-07-12,2012-12-12,2012
322,PATRIA LAND & ARMAMENT OY,FIN,284400,POWER PACK FOR XA-203N,2012-07-12,2012-12-12,2012
323,PENTECOM LLC,USA,144055,PROCUREMENT OF SERVICES,2012-07-12,2012-12-12,2012
324,PENTECOM LLC,USA,677481,PROCUREMENT OF SERVICES,2012-07-12,2012-12-12,2012
325,PENTECOM LLC,USA,110812,PROCUREMENT OF SERVICES,2012-07-12,2012-12-12,2012
326,PIONEER AEROSPACE CORP DBA,,,,2012-07-12,2012-12-12,2012
327,,USA,1250703,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
328,AIRLIFT,,,,2012-07-12,2012-12-12,2012
329,PRAS TECNICA EDILIZIA SRL,ITA,115000,KAIA PHASE 1 SUS. WATER SOURCE 35% DESIG,2012-07-12,2012-12-12,2012
330,PRATT & WHITNEY CANADA / M.T.U.,DEU,3890000,SUPPLIES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
331,PRIMETAKE LTD,GBR,350826,CARTRIDGES,2012-07-12,2012-12-12,2012
332,PRINTTEC,NLD,104156,PROCUREMENT OF LASER EQUIPMENT TO PRODUCE PCBS,2012-07-12,2012-12-12,2012
333,RAIKKA OY,FIN,715368,ARTILLERY SIMULATION SYSTEM,2012-07-12,2012-12-12,2012
334,RAYTHEON CO,USA,6934248,PURCHASE OF ELECTRON TUBES,2012-07-12,2012-12-12,2012
335,RAYTHEON CO,USA,13255433,"PURCHASE OF EXCITER, RADIO FREQUENCY",2012-07-12,2012-12-12,2012
336,RAYTHEON CO,USA,1192087,PURCHASE OF RT3 KIT,2012-07-12,2012-12-12,2012
337,RAYTHEON CO,USA,569003,POWER SUPPLY,2012-07-12,2012-12-12,2012
338,RAYTHEON COMPANY,USA,998707,SPARE PARTS FOR THE MODIFICATION OF CANADIAN TOW TAS AT LM-WORKSHOP,2012-07-12,2012-12-12,2012
339,RAYTHEON COMPANY,USA,1283263,IE UPGRADE KITS FOR CANADIAN TOW ITAS / LM-WORKSHOP,,2012-07-12,2012-12-12
340,RAYTHEON COMPANY,USA,638553,TOW SPARE PARTS,,2012-07-12,2012-12-12
341,RAYTHEON TECHNICAL SERVICES CO,,,"PROCUREMENT OF 50 EA, TRANSMITTER, LIGHT",,2012-07-12,2012-12-12
342,,USA,117853,,,2012-07-12,2012-12-12
343,LLC,,,SIGNAL,,2012-07-12,2012-12-12
344,RAYTHEON TECHNICAL SERVICES CO,,,MODIFICATIONS OF 2 EACH SOLID STATE,2012-07-12,2012-12-12,2012
345,LLC,USA,317045,AMPLIFIERS,,2012-07-12,2012-12-12
346,RENK AG,DEU,251367,SPARE PARTS FOR TRANSMISSIONS (LEOPARD 2 TANK) FOR THE TURKISH DOD,,2012-07-12,2012-12-12
347,REYNOLDS ENGINEERING &,USA,422647,SUPPLY OF FOAM DOLLY FOR C-130 AIRCRAFT,,2012-07-12,2012-12-12
348,RHEINMETALL DEFENCE,DEU,190000,PROCUREMENT OF A SECOND-HAND AUTOMATIC LEOPARD TEST STATION (ATS RAP,,2012-07-12,2012-12-12
349,ELECTRONICS,,,,,2012-07-12,2012-12-12
350,,,,190-40).,,2012-07-12,2012-12-12
351,RHEINMETALL LANDSYSTEME GMBH,DEU,223953,POWER UNIT AND GENERATOR SET FOR PZH2000 COOLING SYSTEM,,2012-07-12,2012-12-12
352,RHEINMETALL LANDSYSTEME GMBH,DEU,2445600,PROCUREMENT OF BLEED AIR UNITS TYPE 2 TRAILER MOUNTED,,2012-07-12,2012-12-12
353,RHEINMETALL WAFFE MUNITION,,,,,2012-07-12,2012-12-12
354,,DEU,137640,GRENADE LAUNCHERS,,2012-07-12,2012-12-12
355,GMBH,,,,,2012-07-12,2012-12-12
356,RHEINMETALL WAFFE MUNITION,,,,,2012-07-12,2012-12-12
357,,DEU,2401368,CARTRIDGES,,2012-07-12,2012-12-12
358,GMBH,,,,,2012-07-12,2012-12-12
359,RHEINMETALL WAFFE MUNITION,,,,,2012-07-12,2012-12-12
360,,DEU,658022,PRACTICE CARTRIDGES,,2012-07-12,2012-12-12
361,GMBH,,,,,2012-07-12,2012-12-12
362,RHEINMETALL WAFFE MUNITION,,,,,2012-07-12,2012-12-12
363,,DEU,846818,CARTRIDGES,,2012-07-12,2012-12-12
364,GMBH,,,,,2012-07-12,2012-12-12
365,RIVOLIER SA,FRA,123600,ÉTUI POUR MENOTTE,,2012-07-12,2012-12-12
366,RIVOLIER SA,FRA,152850,CHAÎNE DE CONDUITE,,2012-07-12,2012-12-12
367,RIVOLIER SA,FRA,675750,MENOTTE,,2012-07-12,2012-12-12
368,ROEDER PRAEZISION GMBH,DEU,301654,SUPPLIES FOR HELICOPTER,,2012-07-12,2012-12-12
369,ROHDE & SCHWARZ BELGIUM SA,BEL,87875,PURCHASE OF MATERIEL OF ROHDE AND SCHWARZ ORIGIN.,,2012-07-12,2012-12-12
370,RONCO CONSULTING CORP,USA,129032,MES - DEMINING ES BAU 1315,,2012-07-12,2012-12-12
371,RUAG AEROSPACE SERVICES GMBH,DEU,90640,PROVISION OF SERVICES FOR HELICOPTER,,2012-07-12,2012-12-12
372,RUAG AMMOTEC GMBH,DEU,247379,CARTRIDGES,,2012-07-12,2012-12-12
373,RUD KETTEN RIEGER & DIETZ GMBH,DEU,93964,COBRA ANTENNA SAFETY DEVICE,,2012-07-12,2012-12-12
374,RWM ITALIA SPA,ITA,178000,GRENADES DC-103-IM DSC,,2012-07-12,2012-12-12
375,RWS CETUS,POL,148500,CARTRIDGES,,2012-07-12,2012-12-12
376,SAGEM DS,FRA,1297500,JIM LRHPD MULTIFUNC INFRARED BINOC,,2012-07-12,2012-12-12
377,SAGEM DS,FRA,4797500,JIM LR MULTIFUNC INFRARED BINOCULAR,,2012-07-12,2012-12-12
378,SCHALL M. GMBH & CO KG,DEU,721540,DELIVERY SUN SHADES,,2012-07-12,2012-12-12
379,SCHIEBEL MINE DETECTION GMBH,AUT,1300500,AN-19/2 MINE DETECTING SET,,2012-07-12,2012-12-12
380,SELEX ES SPA,ITA,132620,PROCUREMENT OF VARIOUS ITEMS FOR SPAIN,,2012-07-12,2012-12-12
381,SELEX SYSTEMS INTEGRATION GMBH,DEU,112711,"DELIVERY, INSTALLATION OF EQUIPMENT AND ASSOCIATED SERVICES FOR THE PAR-80 IN",,2012-07-12,2012-12-12
382,SICAMB SPA,ITA,299472,BELGIUM. CARTRIDGES,,2012-07-12,2012-12-12
383,SIELMAN SA,GRC,392500,"PURCHASE OF YIG FILTER, BAND PASS",,2012-07-12,2012-12-12
384,SIGIER-CAPELLE,FRA,301350,KIT CLEANING FMAS 5.56 MM,,2012-07-12,2012-12-12
385,SIRTI SPA,ITA,106750,CIS SUPPLY,,2012-07-12,2012-12-12
386,SKY-SOFT LTD,HUN,99324,PURCHASE OF VAX EMULATION SPARES FOR THE FPS-117,,2012-07-12,2012-12-12
387,SOUCY INTERNATIONAL INC.,CAN,93472,M113 A3 RUBBER TRACK 105 PITCHES,,2012-07-12,2012-12-12
388,SOUCY INTERNATIONAL INC.,CAN,94122,M113 A3 RUBBER TRACK 106 PITCHES,2012-07-12,2012-12-12,2012
389,SOUCY INTERNATIONAL INC.,CAN,880275,M113 G3 CONSTRUCTION RFD RUBBER TRA,2012-07-12,2012-12-12,2012
390,SPIJKSTAAL ELEKTRO BV,NLD,220600,PURCHASE OF GROUND SUPPORT EQUIPMENT,2012-07-12,2012-12-12,2012
391,SPREEWERK LUEBBEN GMBH,DEU,7998635,DEMILITARIZATION,2012-07-12,2012-12-12,2012
392,SPREEWERK LUEBBEN GMBH,DEU,2785577,DEMILITARIZATION OF CARTRIDGES,2012-07-12,2012-12-12,2012
393,STAR DEFENCE LOGISTICS &,,,,2012-07-12,2012-12-12,2012
394,,ESP,106040,"AXLE ASSEMBLY,AUTOM",2012-07-12,2012-12-12,2012
395,ENGINEERING SL,,,,2012-07-12,2012-12-12,2012
396,STEEP GMBH,DEU,3457740,"PROCUREMENT OF POWER MODULES, “AMPLIFIER,RADIO FREQUENCY”.",2012-07-12,2012-12-12,2012
397,STERELA,FRA,197595,SYSTÈME DE RADIOCOMMANDE ET DE CONT,2012-07-12,2012-12-12,2012
398,STERELA,FRA,240526,KIT PCI100 CISEAU-BASCULANT,2012-07-12,2012-12-12,2012
399,STERELA,FRA,602720,PORTE-CIBLE ANTICHAR 400 AVEC PANNE,2012-07-12,2012-12-12,2012
400,STERELA,FRA,1467762,PORTE-CIBLE PCI100,2012-07-12,2012-12-12,2012
401,STRABAG ZRT,HUN,264480,INSTALLATION OF OFFICE CONTAINER FACILITY,2012-07-12,2012-12-12,2012
402,SUNLIGHT SYSTEMS SA,GRC,279000,PURCHASE OF BATTERIES FOR SPIKE COMMAND & LAUNCH UNITS,2012-07-12,2012-12-12,2012
403,SUNLIGHT SYSTEMS SA,GRC,646800,BATTERY,2012-07-12,2012-12-12,2012
404,SUNROCK,FRA,117040,SEARCHLIGHT KIT,2012-07-12,2012-12-12,2012
405,SUNROCK,FRA,218820,FLIR BHS-XR CAMERA THERMIQUE,2012-07-12,2012-12-12,2012
406,SUREFIRE L.L.C.,USA,77530,LED WEAPONLIGHT WHITE + IR OUTPUT,2012-07-12,2012-12-12,2012
407,T B DAVIES (UK) LIMITED,GBR,139336,PURCHASE OF GROUND SUPPORT EQUIPMENT,2012-07-12,2012-12-12,2012
408,TACTICAL MEDICAL SOLUTIONS INC,USA,86800,"SOFTT-NH TOURNIQUET,ONE-HAND",2012-07-12,2012-12-12,2012
409,TASER INTERNATIONAL EUROPE SE,DEU,113733,TASER CAM FOR TASER X 26 E,2012-07-12,2012-12-12,2012
410,TASER INTERNATIONAL EUROPE SE,DEU,130262,TASER X 26 E / FRANCE - KIT,2012-07-12,2012-12-12,2012
411,TASER INTERNATIONAL EUROPE SE,DEU,235040,CARTRIDGES GREEN BLAST DOOR / 7.6 M,2012-07-12,2012-12-12,2012
412,TASER INTERNATIONAL EUROPE SE,DEU,246414,TASER X 26 E / FRANCE - KIT,2012-07-12,2012-12-12,2012
413,TECHNIK CONSULTING ALVADE,ESP,236447,NIGHT VISION DEVICE,2012-07-12,2012-12-12,2012
414,TECHNIK CONSULTING ALVADE,ESP,2490968,NIGHT VISION DEVICE,2012-07-12,2012-12-12,2012
415,TECNOVE S.L.,ESP,650331,REFRIGERATED SHIPPING AND STORAGE C,2012-07-12,2012-12-12,2012
416,TELINDUS BV,NLD,127691,LICENSES,2012-07-12,2012-12-12,2012
417,TELINDUS BV,NLD,149234,CIS SUPPLY,2012-07-12,2012-12-12,2012
418,TERRANG MP-SEC FRANCE,FRA,82584,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
419,TERRANG MP-SEC FRANCE,FRA,91464,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
420,TERRANG MP-SEC FRANCE,FRA,111000,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
421,TERRANG MP-SEC FRANCE,FRA,154512,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
422,TERRANG MP-SEC FRANCE,FRA,186480,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
423,TERRANG MP-SEC FRANCE,FRA,241536,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
424,TERRANG MP-SEC FRANCE,FRA,304584,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
425,TERRANG MP-SEC FRANCE,FRA,310800,"BOOTS,COMBAT - ELITE DESERT",2012-07-12,2012-12-12,2012
426,TEST-FUCHS,DEU,84582,PROVISION OF SERVICES FOR FIXED WING AIRCRAFT,2012-07-12,2012-12-12,2012
427,THALES ANGENIEUX,FRA,169440,JUMELLES DE VISION NOCTURE LUCIE XD,2012-07-12,2012-12-12,2012
428,THALES ANGENIEUX,FRA,209400,JUMELLE MINIE D AVEC TUBE XR5 AUTOG,2012-07-12,2012-12-12,2012
429,THALES ANGENIEUX,FRA,469800,JUMELLE MINIE DIR AVEC TUBE XR5 AUT,2012-07-12,2012-12-12,2012
430,THALES ANGENIEUX,FRA,620760,JUMELLES DE VISION NOCTURE LUCIE XD,2012-07-12,2012-12-12,2012
431,THALES NORWAY AS,NOR,178534,IP CRYPTO EQUIPMENT FOR THE BEL ICC NETWORK,2012-07-12,2012-12-12,2012
432,THALES OPTRONIQUE SA,FRA,592000,JUMELLE THERMIQUE SOPHIE-ZS,2012-07-12,2012-12-12,2012
433,THALES RAYTHEON SYSTEMS CO LLC,USA,239805,ANTENNA SPARE PARTS FOR NORWAY,2012-07-12,2012-12-12,2012
434,TRADOS GMBH BELGIAN BRANCH,BEL,188919,PROCUREMENT OF SERVICES,2012-07-12,2012-12-12,2012
435,UNI BUSINESS CENTRE BV,NLD,114919,CIS SUPPLY,2012-07-12,2012-12-12,2012
436,UNI BUSINESS CENTRE BV,NLD,90410,LICENSES,2012-07-12,2012-12-12,2012
437,VALLON GMBH,DEU,1199000,MINEHOUND VMR3 COMPLET SET,2012-07-12,2012-12-12,2012
438,VAREC N.V.,BEL,112500,PAD TRACK SHOE,2012-07-12,2012-12-12,2012
439,VASSALE SRL,ITA,79810,CONTAINERS FOR TRANMSPORTATION & STORAGE OF EXPLOSIVES,2012-07-12,2012-12-12,2012
440,VECTRONIX AG,CHE,79118,MOSKITO W PHOTONIX XR5,2012-07-12,2012-12-12,2012
441,VERSEIDAG BALLISTIC PROTECTION,,,,2012-07-12,2012-12-12,2012
442,,FIN,76800,GPB PD MASCULIN 88-100 L,2012-07-12,2012-12-12,2012
443,OY,,,,2012-07-12,2012-12-12,2012
444,VERSEIDAG BALLISTIC PROTECTION,,,,2012-07-12,2012-12-12,2012
445,,FIN,103675,GILET PARE BALLES À PORT DISCRET MA,2012-07-12,2012-12-12,2012
446,OY,,,,2012-07-12,2012-12-12,2012
447,YUKSEL INSAAT AS,TUR,2720019,TCN ACCOMMODATION & OFFICE BUILDING,2012-07-12,2012-12-12,2012
448,YUKSEL INSAAT AS,TUR,507792,KAIA US -NSE LIFT & SUSTAIN VILLAGE,2012-07-12,2012-12-12,2012
449,YUKSEL INSAAT AS,TUR,79877,APOD RELOCATION - DOG KENNEL ADD. WORKS,2012-07-12,2012-12-12,2012
450,YUKSEL INSAAT AS,TUR,598872,ROLE 1 MTF - CONSTRUCTION WORKS,2012-07-12,2012-12-12,2012
451,YUMA SA,ESP,100425,"COVER,FIELD PACK,CAMOUFLAGE - FUNDA",2012-07-12,2012-12-12,2012
452,YUMA SA,ESP,109600,"COVER,FIELD PACK,CAMOUFLAGE - FUNDA",2012-07-12,2012-12-12,2012
453,YUMA SA,ESP,133200,"BAG,GARMENT - BOLSAS PORTAUNIFORMES",2012-07-12,2012-12-12,2012
454,YUMA SA,ESP,211458,FIELD PACK - MOCHILAS DE CAMPAÑA AR,2012-07-12,2012-12-12,2012
455,YUMA SA,ESP,297500,LIGHT THERMAL BLANKET CAMOUFLAGE -,2012-07-12,2012-12-12,2012
456,ZODIAC EQUIPMENT SPOL SRO,CZE,217944,PROCUREMENT OF AIRCRAFT STAIRS,2012-07-12,2012-12-12,2012
457,ZODIAC SERVICES EUROPE,FRA,275551,SUPPLIES FOR HELICOPTER,2012-07-12,2012-12-12,2012
458,3 M DEUTSCHLAND GMBH US,,,,2012-01-12,2012-06-12,2012
459,,DEU,77625,3M COMBAT ARMS DOUBLE,2012-01-12,2012-06-12,2012
460,GOVERNMENT SERVICES EUROPE,,,,2012-01-12,2012-06-12,2012
461,3 M DEUTSCHLAND GMBH US,,,,2012-01-12,2012-06-12,2012
462,,DEU,78568,PTT WITH BERNIER JACK,2012-01-12,2012-06-12,2012
463,GOVERNMENT SERVICES EUROPE,,,,2012-01-12,2012-06-12,2012
464,3 M DEUTSCHLAND GMBH US,,,,2012-01-12,2012-06-12,2012
465,,DEU,150760,SENTINEL TACPACK,2012-01-12,2012-06-12,2012
466,GOVERNMENT SERVICES EUROPE,,,,2012-01-12,2012-06-12,2012
467,3 M DEUTSCHLAND GMBH US,,,,2012-01-12,2012-06-12,2012
468,,DEU,425800,MAXIM BALLISTIC TAC PA,2012-01-12,2012-06-12,2012
469,GOVERNMENT SERVICES EUROPE,,,,2012-01-12,2012-06-12,2012
470,3 M DEUTSCHLAND GMBH US,,,,2012-01-12,2012-06-12,2012
471,,DEU,837150,COMTAC XP BLACK,2012-01-12,2012-06-12,2012
472,GOVERNMENT SERVICES EUROPE,,,,2012-01-12,2012-06-12,2012
473,3 M DEUTSCHLAND GMBH US,,,,2012-01-12,2012-06-12,2012
474,,DEU,971200,FAHRENHEIT TACTICAL PA,2012-01-12,2012-06-12,2012
475,GOVERNMENT SERVICES EUROPE,,,,2012-01-12,2012-06-12,2012
476,A VE A DIS TIC LTD STI,TUR,203374,SUPPLIES FOR FIXED WING AIRCRAFT,2012-01-12,2012-06-12,2012
477,A VE A DIS TIC LTD STI,TUR,129770,SUPPLY OF A HEAT TREATMENT OVEN,2012-01-12,2012-06-12,2012
478,ADVENTURE LIGHTS INC.,CAN,163425,VIPIR GEN 4 5 LEDS (2,2012-01-12,2012-06-12,2012
479,AERO PRECISION INDUSTRIES INC,USA,94610,SUPPLIES FOR FIXED WING AIRCRAFT,2012-01-12,2012-06-12,2012
480,AGILENT TECHNOLOGIES,BEL,131580,NEW PXA SIGNAL ANALYZER,2012-01-12,2012-06-12,2012
481,AGILENT TECHNOLOGIES,BEL,184771,PROC. NETWORK ANALYZER,2012-01-12,2012-06-12,2012
482,AGUSTA AEROSPACE SERVICES SA,BEL,119343,SUPPLIES FOR HELICOPTER,2012-01-12,2012-06-12,2012
483,AGUSTA AEROSPACE SERVICES SA,BEL,102876,SUPPLIES FOR HELICOPTER,2012-01-12,2012-06-12,2012
484,AGUSTAWESTLAND LTD,GBR,1357612,SUPPLIES FOR HELICOPTER,2012-01-12,2012-06-12,2012
485,AIRCRAFT MAINTENANCE SUPPORT,,,,2012-01-12,2012-06-12,2012
486,,GBR,314413,ATLAS TACTICAL TRANSFE,2012-01-12,2012-06-12,2012
487,SERVICES LTD (AMSS),,,,2012-01-12,2012-06-12,2012
488,AIRTEC GMBH,DEU,108378,"PARACHUTE,PERSONNEL,TROOP",2012-01-12,2012-06-12,2012
489,AKANA MUHENDISLIK VE TICARET,TUR,553170,JORDAN II TRUST FUND SUPPORT,2012-01-12,2012-06-12,2012
490,ALEX-SISTEMI SPA,ITA,165500,TRAILER & GENERATOR FISCHER PANDA,2012-01-12,2012-06-12,2012
491,ALLEN-VANGUARD LTD,GBR,90855,ACE SUIT LG,2012-01-12,2012-06-12,2012
492,ALLEN-VANGUARD LTD,GBR,302850,ACE SUIT MD,2012-01-12,2012-06-12,2012
493,AMPER PROGRAMAS DE,,,,2012-01-12,2012-06-12,2012
494,,ESP,925399,TRANSCEIVERS,2012-01-12,2012-06-12,2012
495,ELECTRONICA,,,,2012-01-12,2012-06-12,2012
496,AMPER PROGRAMAS DE,,,,2012-01-12,2012-06-12,2012
497,,ESP,261968,SUPPLY OF NAVY SPARE PARTS,2012-01-12,2012-06-12,2012
498,ELECTRONICA,,,,2012-01-12,2012-06-12,2012
499,APPLICAZIONI INDUSTRIALI SRL,ITA,285000,SUPPLIES FOR FIXED WING AIRCRAFT,2012-01-12,2012-06-12,2012
500,ARCERS LTD,LVA,2058934,AMMUNITION STORAGE FACILITIES,2012-01-12,2012-06-12,2012
501,ARINC TECHNOLOGIES,FRA,288000,KIT D'INTÉGRATION POUR,2012-01-12,2012-06-12,2012
502,ARKEL INTERNATIONAL LLC,USA,220483,GENERATOR MAINTENANCE,2012-01-12,2012-06-12,2012
503,ARKEL INTERNATIONAL LLC,USA,239186,REPAIR OF RLB UNITS,2012-01-12,2012-06-12,2012
504,ARKEL INTERNATIONAL LLC,USA,78698,DLA EXPANSION YARD,2012-01-12,2012-06-12,2012
505,ARMAMENT TECHNOLOGY,,,,2012-01-12,2012-06-12,2012
506,INCORPORATED,CAN,164182,RIFLE ACCESSORIES,2012-01-12,2012-06-12,2012
507,ARMOR SOURCE LLC,USA,122501,LIGHTWEIGHT ACH LARGE,2012-01-12,2012-06-12,2012
508,ARMOR SOURCE LLC,USA,128590,LIGHTWEIGHT ACH LARGE,2012-01-12,2012-06-12,2012
509,ARMTEC COUNTERMEASURES CO.,USA,924127,PURCHASE OF AMMUNITION,2012-01-12,2012-06-12,2012
510,ASIA SRL,ITA,572020,SUPPLIES FOR FIXED WING AIRCRAFT,2012-01-12,2012-06-12,2012
511,AVIOGEI AIRPORT EQUIPMENT SRL,ITA,120731,SUPPLIES FOR FIXED WING AIRCRAFT,2012-01-12,2012-06-12,2012
512,AVTECH CORP,USA,99825,PROC. BALLAST LAMPS,2012-01-12,2012-06-12,2012
513,BAE SYSTEMS HÄGGLUNDS AB,SWE,90609,DIESEL ENGINE,2012-01-12,2012-06-12,2012
514,BAE SYSTEMS HÄGGLUNDS AB,SWE,132921,"ROAD WHEEL, WITH BEARI",2012-01-12,2012-06-12,2012
515,BAE SYSTEMS HÄGGLUNDS AB,SWE,362940,INTERNAL DRIVE TRACK (,2012-01-12,2012-06-12,2012
516,BEAVER AEROSPACE & DEFENSE INC,USA,140133,PROVISION OF BALL SCREW,2012-01-12,2012-06-12,2012
517,BELL HELICOPTER SUPPLY CENTER,,,,2012-01-12,2012-06-12,2012
518,,NLD,309029,SUPPLIES FOR HELICOPTER,2012-01-12,2012-06-12,2012
519,BV,,,,2012-01-12,2012-06-12,2012
520,BELL HELICOPTER SUPPLY CENTER,,,,2012-01-12,2012-06-12,2012
521,,NLD,108208,SUPPLIES FOR HELICOPTER,2012-01-12,2012-06-12,2012
522,BV,,,,2012-01-12,2012-06-12,2012
523,BELL HELICOPTER SUPPLY CENTER,,,,2012-01-12,2012-06-12,2012
524,,NLD,258676,SUPPLIES FOR HELICOPTER,2012-01-12,2012-06-12,2012
525,BV,,,,2012-01-12,2012-06-12,2012
526,BIURO HANDLOWE JOTA SPOLKA ZOO,POL,440000,LUBRIFICATING OIL,2012-01-12,2012-06-12,2012
527,BNS CONTAINER AS,NOR,78336,20' 1CC FREIGHTCONTAIN,2012-01-12,2012-06-12,2012
528,BNS CONTAINER AS,NOR,174712,20' 1CC FREIGHTCONTAIN,2012-01-12,2012-06-12,2012
529,BRISTOL TRUST LLC,EST,708000,"BOOTS,COMBAT",2012-01-12,2012-06-12,2012
530,CAE AVIATION SARL,LUX,160000,CONSOLE ÉQUIPÉE,2012-01-12,2012-06-12,2012
531,CAE AVIATION SARL,LUX,174300,LOCATION MX15 HD,2012-01-12,2012-06-12,2012
532,CAE AVIATION SARL,LUX,1889335,DIDITAL IMAGING TURRET,2012-01-12,2012-06-12,2012
533,CAMELBAK PRODUCTS INC,USA,89580,THERMOBAK 3L OMEGA 100,2012-01-12,2012-06-12,2012
534,CAMP SUPPLY INTERNATIONAL,NOR,85373,SERVICE CONCEPT DEPLOY,2012-01-12,2012-06-12,2012
535,CARAHSOFT TECHNOLOGY,,,,2012-01-12,2012-06-12,2012
